image,men,women,animals,glasses,other,scenery,incongruity,Sentence 1,Sentence 2,Sentence 3,implied
120847.png,2,0,mice,2,cages clipboard lab coat mouse costume,testing lab,doctor in mouse costume,A doctor in a mouse costume takes notes on the mice in cages.,The doctor in the mouse costume is talking to the doctor in the labcoat.,There are many mice in cages all around the two doctors.,Experiment
120873.png,5,2,0,1,suits subway meeting table paper briefcase chairs,inside a subway car,business meeting held in a subway,Men and women in suits are having a business meeting in a subway car.,Everyone is looking at the man at the head of the table.,Everyone looks very professional,Business meeting
120894.png,3,2,0,4,sign “Emergency Hotline” dirt long desk chairs,workplace at an emergency hotline,Helpful people are not being helpful; man covered in dirt,The people who should be helpful in an emergency are mad at a person who is having an emergency.,A man who is covered in dirt stands before the people who run the emergency hotline,The man covered in dirt is in need of help.,emergency hotline
120915.png,0,0,dinosaurs/ monsters (2),0,buildings houses apartments,city,giant monsters in a city,Two giant monsters are eating people and buildings in a city.,The monster throws people and buildings into its mouth while the other monsters watches.,The monsters are scary and have sharp teeth.,Godzilla
120935.png,2,1,0,2,surfboard receptionist desk suits windows doorway magazine couch chair flowers,office,man in suit with surfboard,A man in a suit rushes out of the office with a surfboard in hand.,The man’s tie is blowing in the wind because he is running fast.,The receptionist and the client look at the man with the surfboard in shock.,office
120955.png,1,1,0,0,giant number 6 briefcase purse,street,a person shaped like a 6,A man who is shaped like a 6 holds a briefcase and talks to a woman on the street.,The woman has an average human body shape.,,
120979.png,1,1,0,2,earth bed bedside table window sheets pajamas curtains,bedroom,the bedroom has a view of planet earth,A man and woman are in their bed and they have a view of planet earth from their bedroom.,The man is lying down and the woman is sitting up.,The bedroom is an average bedroom.,Not on planet earth
121018.png,1,1,fish (3),2,fishbowl small desert island phone tiny palm trees,room,there is a desert island in a fish bowl with a small man,A woman talks on the phone while looking at the tiny man sitting on the island in the fish bowl.,The fish look at the tiny man sitting on the island in the fish bowl.,,
121044.png,2,0,0,0,animal tail suits alcoholic drinks bar,bar,a man in a suit has a tail,Two men sit at the bar and talk over drinks.,The man with the tail is talking to the man without a tail.,Both men are wearing suits and look professional.,
121065.png,1,1,0,1,duck head toy balloon wine glasses table chairs clown costume,restaurant on the street,clown on a date,A woman leaves a date with a clown.,The clown has brought many toys.,The woman leaves money.,The date did not go well
121106.png,5,2,dog,4,barrell guns sword official uniform gate,outdoors,man tied up,A man is tied up as many people look at him while holding guns.,The people and dog are lined up uniformly.,The tied up man and the official man are talking.,Execution
